詞彙,釋義,例句
大拜拜,指盛大、隆重的活動或場合，通常涉及繁複的程序和規模，類似於傳統儀式或慶典。,各大電子廠偏向不舉辦大拜拜型的尾牙
大神,在某個領域特別厲害的人。,在公司的編程競賽中，張工以驚人的速度解決了所有複雜問題，大家都紛紛稱他為「編程大神」。
大推,大力推薦。,這部電影的劇情和特效都超贊，我大推！
大腦在星爆,源自動漫作品「刀劍神域」主角的招式「星爆氣流斬」，以招式的速度聞名，音此常以「大腦在星爆」形容人在某種情境下大腦極度混亂、超負荷運轉，彷彿思緒爆炸般的感覺。,這真的是文化衝擊，我的大腦在星爆
大聰明,以自以為聰明實則糊塗的方式展現的一種幽默反諷，用來形容那些表現得過於自信且不切實際的人或事物。,這個大聰明以為把車牌貼反光貼紙就能逃過超速罰單，結果反而被罰更重。
女力,「女子力」的簡稱。最早源自日本，現指現代女性擁有正面、做自己、堅韌、溫柔等特質。,在這次的年度頒獎典禮中，許多獲獎者都展現了強大的女力，成為新一代年輕女性的榜樣。
小白,指新人。,作為一個剛進公司的小白，李明努力學習並尋求同事們的指導。
小宇宙,指個人內心或頭腦中的思維空間，常用來形容內心世界的獨特性或豐富性。,我在腦內小宇宙搜尋了歷年來為錢爭執的動態回顧
小朋友才做選擇,表示拒絕在多個選項中選擇一個，強調「我全都要」的貪心態度，通常帶有幽默與自嘲的語氣。,A：你要珍珠奶茶還是芒果冰沙？ B：小朋友才做選擇，我全都要！
小粉红,通過留學與翻牆（突破網路審查）手段，並在境外社群網路上湧現出大量的傾向民族主義，且盲目發表愛國、愛共產黨言論的中國大陸青年。,在國際論壇上，小粉红們常常展現激烈的民族主義立場，積極捍衛他們心中的祖國形象。
小圈圈,指一個封閉且排他的小團體，通常由一小部分人組成，成員之間關係緊密，但對外界有所排斥。,被認為是「搞小圈圈」
小資,指總資產不多。,小明自嘲自己是典型的小資，只能偶爾奢侈一把，平時還是得精打細算過日子。
小資族,通常指有小量資產或積蓄的白領上班族。,小資族們通常會投資於股票或基金，試圖讓自己不多的積蓄增值。
小鈴鐺,系統的新訊息通知。大多指訂閱YouTube頻道後，可開啟以即時接收頻道活動訊息的功能。,每次我訂閱新頻道後，總是記得打開小鈴鐺，這樣就不會錯過任何新影片的通知了。
小蜜蜂,指店家會開著載有飲料、小吃等的小貨車，在部隊出操時向軍人販售。,在部隊訓練結束後，小蜜蜂開到了操場邊，為疲憊不已的軍人們提供了冰涼的飲料和可口的小吃。
小劇場,指不斷在內心揣測他人的想法，很可能陷入自以為是、鑽牛角尖的地步。,每次和他聊天，她總會開啟自己的「小劇場」，試圖解讀他每句話背後的深意，結果常常讓自己困擾不已。
小模,指資歷或知名度尚淺的模特兒，通常在社交媒體上擁有一定程度的曝光和影響力。,可以明顯地看到這些散布者是公關公司可以找到的小模、網紅
小編,原為對「編輯」的一種稱呼，後因網路社群平台興起，漸成為企業行銷團隊一員。,小編在社群媒體上發布了一則創意十足的貼文，成功吸引了大量用戶的關注和互動。
山道猴子,指許多機車騎士把山道當成賽道競速，甚至有違規超車、雙黃線迴轉、佔用對向車道等，不顧他人安全的行為,他剛剛過彎的時候速度太快，直接外拋到對面逆向，不愧是山道猴子。
工具人,指只被利用，卻沒有得到對應回報的人。,又被當成工具人，真是無語。
工具人,經常無條件替對方做事的人。,小明常常在大家需要幫忙時無償付出，漸漸地就變成了朋友圈裡的工具人。
工商,即代言廣告。,這位網紅的工商內容總是以創意取勝，每次推出的新產品代言廣告都吸引了大量觀眾關注。
已知用火,用來諷刺對方的消息的過於陳舊，就如同還活在舊石器時代一樣。,他今天跟我分享VPN的好處，我心裡只能默默說一句：已知用火，現場都用得滾瓜爛熟了。
不是，哥們,表達對某種行為或言論的驚訝、不解，甚至有點無奈,不是，哥們，你凌晨三點叫我起來就為了問今天幾號？
不能只有我看到,有些文章推文很多實際上並沒什麼內容，甚至有恐怖連結，但是鄉民為了讓更多人受騙進來看，會在推文推說「幫騙」、「不能只有我看到」，來增加推文數。,看完這操作直接傻眼，不能只有我看到，幫推散播崩潰能量！
不演了,指原本有所矜持或顧忌的人在他人面前公然露出本性。,在他再三遲到之後我也直接不演了，把他踢出群組
不懂就問,網民在遇到不明白的問題時，主動詢問他人以獲取答案時的一種慣用開頭。,不懂就問，什麼叫活網
不EY,與不意外同義，用來形容某些發生了也不會讓人感到意外的事。,這次的遊戲更新太差了，真的不EY，玩家們都在抱怨。
不U,不優、不優秀，形容他人行為不妥,你這樣很不U捏!
中二,日文漢字「中二病（ちゅうにびょう）」的簡稱。指經常做出不合常理的奇異行為、沉醉在自己的幻想中的人。,每次小明在大庭廣眾下揮舞著「隱形劍」自稱是黑暗騎士時，大家都笑說他是中了「中二」的魔咒。
中毒太深,形容人對特定的人事物有異常的執著，不時地會去想或做出行動，如同成癮般狂熱，並且難以戒斷。具思考意義。,小明中毒太深，對那款遊戲愛不釋手，為了升等甚至經常熬夜不睡。
中部粽,消波塊，被戲稱為「中部粽」（與北部蒸粽與南部水煮粽對應）。因有傳說指某角頭得罪中部某知名幫派而人間蒸發，被發現時已成消波塊。延伸用法: 「守護海岸線」、「海景第一排」,小明: 那個小黨候選人居然選贏了那個黑幫大老的兒子?! 小美: 完了，他要變中部粽了。
中猴,【台語】中猴（Dioh gáo）指一個人行為舉止不穩重、不安份、太過活潑、不正經。,哩喜中猴喔，在那邊跳來跳去的衝啥小？
中槍,遭受指控或言語攻擊。,在會議上，他因為項目延誤中槍，不得不解釋背後的原因。
中獎,即染上傳染病。,最近感冒病毒肆虐，我沒戴口罩就出門，結果中獎了，現在在家狂咳。
中離,「中途離開」的簡稱。,昨天會議開到一半，小李突然中離，讓大家都很驚訝。
五五波,雙方勢均力敵、不相上下，實力介於伯仲之間的意思。 例句：這場球賽雙方打者的實力相當，結局五五波。,經過數個小時的激烈競爭，圍棋比賽的局勢依然五五波，難以預測誰會獲勝。
五毛,對於中國網路評論員的一種蔑稱。網路傳言他們每發一篇文章便可以獲得五角（大陸「一角」俗稱為「一毛」）的報酬，因此網友謔稱他們為「五毛」、「五毛黨」。,PTT 是不是被五毛入侵了？怎麼一堆親中言論？
元宇宙,著重探討持久性與去中心化的線上三維虛擬環境。此環境可以透過虛擬實境眼鏡、擴增實境眼鏡、手機、個人電腦和電子遊戲機等裝置，進入人造的虛擬世界。,隨著技術的不斷進步，越來越多的人每天都會進入元宇宙，利用虛擬實境眼鏡在這個三維虛擬環境中參加會議、購物或者與朋友互動。
內牛滿面,「淚流滿面」的意思,我看這個故事看到內牛滿面。
內卷,內卷是一個現代流行的社會學術語，被廣泛用來形容在競爭激烈的環境下，個體或群體被迫投入更多的努力，但結果卻停滯不前，甚至惡化。,補習班之間的內卷越來越嚴重，孩子們壓力山大。
內容農場,指專門生產大量低質量或誤導性內容，以吸引點擊和廣告收益的網站或平台，通常缺乏嚴謹的事實核實和原創性。,據研究，近年在台灣流傳的假新聞中，就屬食藥新聞最多，分享也最廣，內容農場就是最大造假來源。
公務機,指專用於公務用途的手機，通常具有基本的通話和短信功能，用於工作聯繫，無過多娛樂功能。,這個就是公務機等級…而且是單純辦公室接電話的那種
切心,形容內心深處受到強烈的觸動或感動，通常與深切的情感和體會相關。,終於明白對一個人切心的感覺
反串,是指本身並非具有某種身分或立場，但卻假裝自己是該身分立場的人來發言，以達到某種目的。,這年頭我已經越來越分不出哪些言論是在反串，哪些言論是在說真心話了。
天花板,表示某個領域的最高水平、極限或巔峰。這個詞來源於建築中的天花板，意指「再往上就到頂了」，用於形容無法超越的存在或極高的標準,"剛轉學過來的金雲身高有200公分，因此大家都叫他""撞到天花板""。 因為佳辰長得相貌堂堂，被許多人喻為""顏值天花板"""
天菜,指理想型情人。,這個新來的學弟也太帥了吧，根本天菜！
天選之人,1.特別幸運的人。 2.用來反諷自己是特別不幸的人。 3.戲稱於新冠疫情中，有高風險接觸史但卻沒有確診的人。,在摸魚的過程中，我居然躲過了一切麻煩，真的是天選之人。
天龍人,指台北人，原《海賊王》的特權階級的名稱，後因台北人常以台北看天下，具有較多資源、卻不了解城鄉差距，被戲稱「天龍人」。而台北市則稱「天龍國」。,小明常常炫耀他住在信義區的豪宅，說話的口氣總讓人覺得他是個標準的天龍人。
夭壽,源自台語，字面意思是「短命」，引申為表達驚訝、誇張或感嘆的語氣詞，多用於口語中,這家餐廳的價格夭壽貴，不敢來第二次。
巴嘎nono,形容一個人吸毒吸到神智不清的意思,聽說隔壁那個人又巴嘎nono了，昨天半夜在大街上跳舞，嚇壞了路人。
巴蕊,台灣台語「𢼌落去（pa--lo̍h-khì）」。用手掌打對方的腦袋，「蕊」是「落去」的連讀。,小明在打鬧中不小心說錯話，被小華輕輕地巴蕊了一下，大家都笑了起來。
心結,心結指的是心中存在的疑慮、誤會或不能釋懷的情感，導致心情鬱結或人際不和。,他一直沒有和朋友好好談話，導致心結越來越重，最後影響了他們的關係。
手刀,立刻、馬上。由於漫畫角色衝刺時常以手指併攏、手掌與前臂成一直線的畫面呈現其，因而以「手刀」表示其迅速不拖拉。,當他得知演唱會門票開售的消息時，立刻手刀衝到售票網站搶票。
手搖,「手搖飲料」的簡稱。一種現點現做的飲料，多以茶為基底，可添加牛奶、果汁、珍珠等配料。,今天下午天氣炎熱，我決定去買一杯手搖飲料，來杯鮮奶茶加珍珠解解渴。
手遊,「手機遊戲」的簡稱。,晚飯後，小明習慣打開幾款手遊來放鬆一下。
支語,意思就是「中國用語、大陸用語」。但一般來說，支語這個詞帶有排斥及貶義。,她說一些影視劇的字幕明顯是翻譯成「支語」，對台灣觀眾來說看起來很彆扭。
支語警察,被稱為「支語警察」的人，會糾正使用大陸用語的使用者，帶出台灣的相對應用法應該是什麼。,“拜託，咱們只是在聊天而已，沒必要每句話都像支語警察一樣挑毛病吧！
斗內,英文「donate」。指贊助或捐贈等。也作「抖內」、「抖」、「斗」。,每次看到這位創作者的直播，我都會毫不猶豫地斗內一些，因為他的內容實在是太精彩了。
月經文,每個月都有人重複提起的話題。形容經常有人提起的話題。以女性生理週期比喻。,在大學的論壇裡，學費漲價的問題已經成為每月必談的「月經文」。
木耳,形容聽覺不敏銳、麻木遲鈍。,他跟我講了半天話，我才發現他根本沒聽清，真是耳朵木耳了。
木舌,形容人在品嘗食物時缺乏品味或敏銳度，難以分辨食物的質量和味道。,其實一般人都木舌 看價錢貴 才覺得好吃
毛,指感到不安或害怕的狀態，通常用來形容某人容易緊張或對某些事物特別敏感。,他是整個人都毛很多吧
毛小孩,指寵物。因飼主將寵物當自己的小孩照顧，而有此稱。也作「毛孩」。,每當她下班回家，總是先給毛小孩準備好晚餐，然後才開始忙碌自己的事情。
毛孩,參見【毛小孩】。,每當我感到壓力的時候，我的毛孩總會跑過來陪伴我，讓我感受到無比的放鬆和快樂。
毛很多,形容一個人很麻煩、很囉唆、問題很多,那位小姐真的毛很多，老是挑別人毛病
水,虛有其表、內容很不充實的意思。就像是加了很多水、味道很淡的飲料。 通常用來形容作品、學歷等等。,英國的學歷好像越來越水了。
水水,1.「水」源自台灣台語「媠（suí）」，指漂亮的女生。對女性非正式的稱呼，多用於網路。 2.漂亮。,她今天穿的那件洋裝讓她看起來特別水水，大家都忍不住多看了兩眼。
水很深,比喻某事物表面看似簡單，但內部涉及很多複雜因素或潛在風險，有待進一步深入了解。,最好再送去鑑定一下，翡翠水很深
水軍,指在網路上受雇發表特定評論、操作輿論或影響公眾意見的群體，通常以虛假的或誇大的方式為某一方站臺或攻擊反對者。,目的就是創造一種由上而下（而不是由下而上）的網路民意，引領水軍、網路暴民和志願者侵害民主社會的多元意見。
水逆,指「水星逆行」的簡稱，源於占星術。被用來形容某段時間內諸事不順、運勢低迷的情況，與星座、命運相關的話題掛鉤。,最近真是水逆，工作上一波三折，連手機都掉進水裡了。
水桶,指被官方禁止留言。,「由於在直播中發表不當言論，他的賬號被水桶了一週，無法留言。」
水喔,漂亮、厲害的台語。,你的新髮型真的很水喔！
火,指受歡迎、熱門或被關注的狀態。,1. 遊戲類股真火2. 戰績好時火掉說是戰術不合有點沒說服力
牙拜,譯自日文，糟糕的意思,我忘記上網課了，牙拜
牙起來,生氣,聽完你這離譜的說法，我真的快要牙起來
牛肉,在互聯網和科技界的俚語中，指某項計劃或產品中真正有價值的部分或核心內容。,感覺牛肉要等到新機發布才會端出來……先繼續觀望
王道,指某種事物或方法被普遍認為是最佳或最具優勢的選擇。,老派的大排氣量、多缸數還是王道啊
代駕,指由專業司機代替車主駕駛車輛的服務，通常在車主不適合或無法自行駕駛的情況下使用，例如飲酒後。,最好就是不用酒價 看是要代駕還是搭大眾交通工具
出4,「出事」的諧音。延伸為遇到麻煩、出狀況。也作「初四」、「初4」。,出4了！我的電腦開不了機了！明天報告要用的檔案都在裡面！
出征,一群擁有相同理念的群眾，因不滿關注的對象遭到質疑、批評，為了幫其辯護而大量湧入他人的社群，在網路上進行留言攻擊，此行為稱為「出征」。,當明星在採訪中的不當言論被放大解讀後，其粉絲們立即組織起來，準備出征那些在網路上發表批評的用戶。
出保,指保固期限已過。,這台洗衣機昨天才剛出保，結果今天開始漏水，真是倒楣。
北漂,為了更多的工作機會而離開原來生活的地區，往北部發展。在台灣，「北」多指「台北」。,Lisa在畢業後決定加入北漂族行列，搬到台北尋找更好的職業發展機會。
卡好,比較好,這件衣服的設計簡單，但品質卻卡好，值得考慮。
卡頓,指電子設備在操作過程中出現卡住或停頓不流暢的現象，通常是由硬件限制或軟件優化不佳引起的。,三星拍照就是爛卡頓
句點,結束話題。,你一直被她句點，她應該對你沒有意思。
可撥,「可悲」的意思。,講了這種話還刪文，實在是可撥啊！
可黏,「可憐」的諧音。,她忘記帶傘，淋得全身濕透，真是太可黏了。
可i,「可愛」的意思。 語源：拉丁字母「I/i」在英語中的發音/ˈaɪ/，接近漢語中的「愛」。,她今天的打扮真是太可i了，讓人忍不住多看兩眼。
台女,原指台灣的女性，但如今卻逐漸變成一個貶義詞，通常跟愛慕虛榮、公主病相關。,呵呵，果然是臺女，聽到要AA就不去了
台主,透過承租夾娃娃機台、並擺放物品提供夾取以營利的人。,自從小王成為夾娃娃機的台主後，他每週都會去檢查機台並補充新的獎品，生意越來越興隆。
台獨,台灣獨立運動的意思,在日前的論壇上，專家們就台獨的可能性展開了激烈的討論。
史密斯,「什麼意思」的連讀。,當他聽到有人說「這件事情史密斯」，他感到有點困惑，直到朋友解釋說那其實是「什麼意思」的連讀。
四輪,指汽車或四輪交通工具，通常用來區分於摩托車等兩輪交通方式。,因為ptt酸民只能騎機車 沒錢開車 所以就酸四輪阿
外掛,指通過各種手段修改遊戲代碼，使自己佔有優勢,他在遊戲中使用外掛，使他的角色瞬間升級，迅速超越其他玩家。
尼,網路用語，為「你」的諧音，用於口語化或非正式語境中。,尼覺得我還要賭剩下兩個好不好吃嗎？
左膠,不現實的左翼分子，因執著於其陳舊的思想，故有此稱,他總是一廂情願地支持那些不可行的政策，難怪朋友們都叫他左膠。
左轉,指離開本網頁。,如果你不感興趣，可以隨時選擇左轉。
平行世界,用以嘲諷自己或他人搞不清楚現實狀況。,他居然以為每個人都在等著他發號施令，真是活在自己的平行世界裡。
平行宇宙,調侃他人搞不清楚狀況、沒有現實感。也作「平行時空」。,每次聽他說話都像是在另一個平行宇宙，完全不理解我們現在的處境。
平行時空,參見「平行宇宙」。,在這個故事中，主角無意中打開了一個通往平行時空的門，看到了另一個版本的自己過著截然不同的生活。
打卡,原指上下班記錄出勤時間，現多引申為在某地拍照或確認到訪，通常發表於社交媒體上，以展示到訪或完成某事。,讓這裡瞬間成為打卡拍照熱點
打咖,打網咖的簡稱。也就是去網路咖啡店消費，使用電腦玩遊戲的意思。,放學要揪團打咖嗎？
打馬,「打馬賽克」的簡稱。運用影像處理技術使畫面模糊。,小王在分享照片前，先用應用程式將個人物品的部分打馬，以保護隱私。
打臉,當作找出別人錯認的事實而使之丟臉出糗的意思,他剛才信誓旦旦說自己不會遲到，結果又是最後一個到，這打臉聲音超清脆。
打call,原意為演唱會現場觀眾以螢光棒等方式與台上的表演者互動的形式，後引申為表達對某人，某事，某物的支持和贊成。,新專輯一發行，我當然要為我最喜愛的歌手在線上打call，以表達我的支持和喜愛。
本子,色情漫畫的代稱,他剛買了一本本子，放在書架的最上層以免被家人看到。
本斥但大,本來想要斥責、排斥的事情，但是錢、福利太大所以妥協了。,本斥但大，原本說不當加班狗，結果加班費開到1.5倍，我已經打卡上班了。
本宅,網路用語，指代自己，通常用於描述某人自己的觀點或經歷，以自稱為第三人稱的方式增加敘述的趣味性。,本宅今天第一次在路上看到小改款的白色IS，遠遠的看，根本帥爆
正太,泛指6歲至14歲未成年男性,正太我的最愛
正能量,正面、正向的情感或思想。,每當我感到沮喪時，朋友們的鼓勵總能給我帶來正能量，讓我重新振作起來。
正義魔人,延伸道德規範至不合理地步的人。,在網路上，不乏正義魔人對於別人無心的小錯誤大肆批判，卻忽略了理解和包容才是建立和諧社群的基礎。
母單,自母胎就單身的意思，又作「牡丹」,我是個可悲的母單仔，都快30歲了還教不到女友
母湯,台灣台語「毋通（m̄-thang）」。不可以、不要的意思。也作「毋湯」、「恩湯」。,你晚上不要一個人去那裡，太危險了，母湯母湯！
汁妹,「把妹、虧妹」的意思,他總是在派對上充當汁妹達人，不放過任何搭訕的機會。
瓜,指的是八卦或秘密事件，多用於形容有人或事件中涉及醜聞或令人感興趣的內幕。,沒有瓜，不用板凳，清白簡單清楚，抓一個告一個
瓜張,「誇張」的意思,他說他每天跑十公里，真是瓜張得讓人無法相信。
甘阿捏,用來強烈懷疑他人的用語。,我剛跟你借五百塊，你現在居然說你沒錢吃飯？甘阿捏？
甘蔗男,形容一開始對戀人非常體貼、溫柔，讓人覺得甜如甘蔗，但隨著交往深入，逐漸顯露出冷漠、自私甚至傷害人的本性，就像甘蔗越嚼越渣。,一開始對我很好，現在完全冷漠，真是個甘蔗男。
生火,激起購買欲望。,這款精心設計的新產品成功地在市場上「生火」，讓消費者紛紛趨之若鶩。
生肉,指未經翻譯或處理的原始日文內容，例如日文的動漫、漫畫、小說或影視作品，通常需要具備日文能力的觀眾才能理解。,這部漫畫目前只有生肉，還沒人翻譯
生快,生日快樂,今天是你的特別日子，生快！希望你有個愉快的一天。
生無可戀,生活已經沒什麼好留戀的了,面對接二連三的挫折，他頹然坐下，感覺彷彿生無可戀，只想逃離這一切。
甩鍋,將責任或失敗的原因推到他人身上。,每次出了問題，他總是第一時間甩鍋給其他同事，從來不承認自己的失誤。
白嫖,白嫖指的是不花費金錢或付出代價，僅依靠免費的方式獲得產品或服務，常帶有戲謔或不勞而獲的意味。,他每天都白嫖遊戲裡的免費獎勵，雖然不充錢但還是玩的不亦樂乎。
